run_id,collection_timestamp,train_number,train_name,train_type,train_category,journey_date,current_station_code,next_station_code,latitude,longitude,segment_progress,delay_minutes,scheduled_arrival,scheduled_departure,actual_arrival,actual_departure,platform,current_location_status,movement_state,distance_from_origin_km,distance_from_last_station_km,route_sequence,previous_delay,delay_change_prev,time_since_previous_observation_seconds,distance_travelled_km,station_transition,route_position_change,estimated_speed_kmh,hour,minute,time_of_day_minutes,day_of_week,future_delay,target_delay_change
20260821T160834Z-moving-38f8f31b,2026-08-21T16:12:20.871847+00:00,12809,Mumbai CSMT - Howrah Mail,Superfast Express,Express,2026-08-20,JDDA,SKT,22.010298,82.9381,0.5981481481481381,130,2026-08-21T19:28:00+05:30,2026-08-21T19:28:00+05:30,2026-08-21T21:37:23+05:30,2026-08-21T21:37:23+05:30,,departed,MOVING,1328.16,6.46,215.0,,,,,False,,,16,12,972,4,130.0,0.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:13:52.328842+00:00,12809,Mumbai CSMT - Howrah Mail,Superfast Express,Express,2026-08-20,JDDA,SKT,22.011265,82.9493,0.7046296296296178,130,2026-08-21T19:28:00+05:30,2026-08-21T19:28:00+05:30,2026-08-21T21:37:23+05:30,2026-08-21T21:37:23+05:30,,departed,MOVING,1329.31,7.61,215.0,130.0,0.0,91.456995,1.1499999999998636,False,0.0,45.26717721262882,16,13,973,4,129.0,-1.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:16:00.433479+00:00,12809,Mumbai CSMT - Howrah Mail,Superfast Express,Express,2026-08-20,SKT,KHS,22.011793,82.95621,,129,2026-08-21T19:35:00+05:30,2026-08-21T19:37:00+05:30,2026-08-21T21:43:09+05:30,2026-08-21T21:46:00+05:30,1.0,at-station,MOVING,1330.4,0.0,216.0,130.0,-1.0,128.104637,1.0900000000001455,True,1.0,30.63120970399006,16,16,976,4,131.0,2.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:18:08.662874+00:00,12809,Mumbai CSMT - Howrah Mail,Superfast Express,Express,2026-08-20,SKT,KHS,22.01182,82.95614,,131,2026-08-21T19:35:00+05:30,2026-08-21T19:37:00+05:30,2026-08-21T21:43:09+05:30,2026-08-21T21:48:00+05:30,1.0,at-station,STATIONARY,1330.4,0.0,216.0,129.0,2.0,128.229395,0.0,False,0.0,0.0,16,18,978,4,133.0,2.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:20:16.721645+00:00,12809,Mumbai CSMT - Howrah Mail,Superfast Express,Express,2026-08-20,SKT,KHS,22.011854,82.95836,,133,2026-08-21T19:35:00+05:30,2026-08-21T19:37:00+05:30,2026-08-21T21:43:09+05:30,2026-08-21T21:50:00+05:30,1.0,at-station,MOVING,1330.4,0.0,216.0,131.0,2.0,128.058771,0.0,False,0.0,0.0,16,20,980,4,133.0,0.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:22:24.771296+00:00,12809,Mumbai CSMT - Howrah Mail,Superfast Express,Express,2026-08-20,SKT,KHS,22.011204,82.975266,0.2679999999999999,133,2026-08-21T19:35:00+05:30,2026-08-21T19:37:00+05:30,2026-08-21T21:43:09+05:30,2026-08-21T21:49:40+05:30,1.0,departed,MOVING,1332.11,2.01,216.0,133.0,0.0,128.049651,1.709999999999809,False,0.0,48.0751017431458,16,22,982,4,133.0,0.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:25:15.656229+00:00,12809,Mumbai CSMT - Howrah Mail,Superfast Express,Express,2026-08-20,SKT,KHS,22.00599,83.021065,0.9013333333333332,133,2026-08-21T19:35:00+05:30,2026-08-21T19:37:00+05:30,2026-08-21T21:43:09+05:30,2026-08-21T21:49:40+05:30,1.0,departed,MOVING,1336.86,6.76,216.0,133.0,0.0,170.884933,4.75,False,0.0,100.06733595407151,16,25,985,4,135.0,2.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:13:15.706490+00:00,95011,KP11/Mumbai CSMT - Khopoli Fast Local,EMU,Local,2026-08-21,DWJN,DI,19.201004,73.0641937,,7,2026-08-21T21:35:00+05:30,2026-08-21T21:35:00+05:30,2026-08-21T21:43:00+05:30,2026-08-21T21:43:00+05:30,,at-station,UNKNOWN,42.2,0.0,26.0,,,,,False,,,16,13,973,4,8.0,1.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:14:10.519331+00:00,95011,KP11/Mumbai CSMT - Khopoli Fast Local,EMU,Local,2026-08-21,DWJN,DI,19.201004,73.0641937,,8,2026-08-21T21:35:00+05:30,2026-08-21T21:35:00+05:30,2026-08-21T21:43:00+05:30,2026-08-21T21:44:00+05:30,,at-station,STATIONARY,42.2,0.0,26.0,7.0,1.0,54.812841,0.0,False,0.0,0.0,16,14,974,4,5.0,-3.0
20260821T160834Z-moving-38f8f31b,2026-08-21T16:16:18.711346+00:00,95011,KP11/Mumbai CSMT - Khopoli Fast Local,EMU,Local,2026-08-21,DI,KYN,19.2181205,73.0868911,,5,2026-08-21T21:39:00+05:30,2026-08-21T21:39:00+05:30,2026-08-21T21:44:45+05:30,2026-08-21T21:46:00+05:30,4.0,at-station,MOVING,46.3,0.0,28.0,8.0,-3.0,128.192015,4.099999999999994,True,2.0,115.13977684179454,16,16,976,4,5.0,0.0
